,,1.生产网,,
1,MH0302020001,生产网核心汇聚交换机,S12708,2.00 
2,MH0302020002,生产网汇聚交换机(DCR-L1F-01),S12704,2.00 
3,MH0302020003,生产网汇聚交换机(DCR-L1F-02),S12704,2.00 
4,MH0302020004,生产网汇聚交换机(DCR-L1A-01),S12704,2.00 
5,MH0302020005,生产网汇聚交换机(DCR-L1C-01),S12704,2.00 
6,MH0302020006,生产网汇聚交换机(DCR-B1AB-01),S12704,2.00 
7,MH0302020007,生产网汇聚交换机(DCR-L1D-01),S12704,2.00 
8,MH0302030001,接入交换机-1,S5720-28X-PWR-SI-AC,150.00 
9,MH0302030002,接入交换机-2,S5720-28X-SI-AC,29.00 
10,MH0302030003,接入交换机-3,S5720-52X-SI-AC,73.00 
11,MH0302010001,生产网灾备交换机1,CE6851-48S6Q-HI ,1.00 
12,MH0302010002,生产网灾备交换机2,CE6850-48T6Q-HI,1.00 
13,MH0301080001,PCR灾备中心防火墙,USG9520,1.00 
,,2.离港网,,
14,MH0302020008,离港网核心汇聚交换机,S12704 ,2.00 
15,MH0302020009,离港网汇聚交换机(DCR-L1F-01),6720-30C-EI-24S-AC,2.00 
16,MH0302020010,离港网汇聚交换机(DCR-L1F-02),S6720-30C-EI-24S-AC,2.00 
17,MH0302020011,离港网汇聚交换机(DCR-L1A-01),S6720-30C-EI-24S-AC,2.00 
18,MH0302020012,离港网汇聚交换机(DCR-L1C-01),S6720-30C-EI-24S-AC,2.00 
19,MH0302020013,离港网汇聚交换机(DCR-B1AB-01),S6720-30C-EI-24S-AC,2.00 
20,MH0302020014,离港网汇聚交换机(DCR-L1D-01),S6720-30C-EI-24S-AC,2.00 
21,MH0302030004,接入交换机-2,S5720-28X-SI-AC,36.00 
22,MH0302030005,接入交换机-3,S5720-52X-SI-AC,6.00 
23,MH0302010003,离港网灾备交换机,CE6850-48T6Q-HI,1.00 
,,3.综合网,,
24,MH0302010004,综合网核心汇聚交换机,S12708,2.00 
25,MH0302020014,综合网汇聚交换机(DCR-L1F-01),S12704,2.00 
26,MH0302020015,综合网汇聚交换机(DCR-L1F-02),S12704,2.00 
27,MH0302020016,综合网汇聚交换机(DCR-L1A-01),S12704,2.00 
28,MH0302020017,综合网汇聚交换机(DCR-L1C-01),S12704,2.00 
29,MH0302020018,综合网汇聚交换机(DCR-B1AB-01),S12704,2.00 
30,MH0302020019,综合网汇聚交换机(DCR-L1D-01),S12704,2.00 
31,MH0302030006,接入交换机-2,S5720-28X-SI-AC,43.00 
32,MH0302030007,接入交换机-3,S5720-52X-SI-AC,85.00 
,,4.服务专有云,,
33,MH0302010005,服务专有云核心汇聚交换机,S12708,2.00 
34,MH0302020020,服务专有云汇聚交换机(DCR-L1F-01),S12704,2.00 
35,MH0302020021,服务专有云汇聚交换机(DCR-L1F-02),S12704,2.00 
36,MH0302020022,服务专有云汇聚交换机(DCR-L1A-01),S12704,2.00 
37,MH0302020023,服务专有云汇聚交换机(DCR-L1C-01),S12704,2.00 
38,MH0302020024,服务专有云汇聚交换机(DCR-B1AB-01),S12704,2.00 
39,MH0302020025,服务专有云汇聚交换机(DCR-L1D-01),S12704,2.00 
